구분,21년도 전체 발생량,,생활폐기물(톤),사업장 비배출시설계폐기물(톤),사업장 배출시설폐기물(톤),건설폐기물(톤),지정폐기물(톤)
,전체 발생량(톤),구성비,,,,,
총계,"19,738",100,"1,675",594,"8,490","8,381",598
서울,"1,767",9,290,106,104,"1,253",14
부산,727,3.7,79,29,140,455,25
대구,620,3.1,80,15,89,423,12
인천,"1,205",6.1,84,57,471,560,32
광주,281,1.4,49,8,40,179,5
대전,392,2,50,7,74,254,6
울산,704,3.6,37,7,442,164,55
세종,113,0.6,11,4,42,51,5
경기,"4,199",21.3,404,143,"1,243","2,265",144
강원,641,3.2,64,19,227,325,6
충북,704,3.6,62,21,292,283,46
충남,"2,033",10.3,77,25,"1,480",388,64
전북,729,3.7,63,23,306,308,30
전남,"2,047",10.4,65,26,"1,421",500,35
경북,"2,193",11.1,97,50,"1,528",442,76
경남,"1,209",6.1,122,49,565,430,42
제주,174,0.9,41,6,25,99,2
